,Country,Age,Gender,playlist_id,link,music_genre
0,Albania,18-24,female,spotify:playlist:4Gol1EeoMD24Bm4EoiVpnw,https://everynoise.com/everydemo.cgi?root=AL%2018-24f&amp;gscope=all&amp;ascope=all,"['albanian pop', 'albanian hip hop', 'kosovan pop']"
1,Albania,18-24,male,spotify:playlist:05tRphjiIyK7HDcZCCTgjs,https://everynoise.com/everydemo.cgi?root=AL%2018-24m&amp;gscope=all&amp;ascope=all,"['albanian pop', 'albanian hip hop', 'kosovan pop']"
2,Algeria,0-17,male,spotify:playlist:0YUFKgR0FGGKd1zzO9XwEc,https://everynoise.com/everydemo.cgi?root=DZ%200-17m&amp;gscope=all&amp;ascope=all,"['rap algerien', 'rai', 'francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'arabic hip hop', 'moroccan pop', 'rap maroc', 'rap tunisien']"
3,Algeria,18-24,female,spotify:playlist:3gg3rmx4AadbMtpOVU2nvZ,https://everynoise.com/everydemo.cgi?root=DZ%2018-24f&amp;gscope=all&amp;ascope=all,"['rai', 'moroccan pop', 'francoton', 'french hip hop', 'pop urbaine', 'rap maroc', 'rai algerien', 'rap francais', 'rap algerien', 'rif', 'arab pop', 'arabic hip hop', 'deep rai', 'belgian hip hop', 'egyptian pop', 'french pop', 'rap belge', 'rap conscient', 'rap tunisien']"
4,Algeria,18-24,male,spotify:playlist:5P8wLuUHb6w5gV3ZAxLhft,https://everynoise.com/everydemo.cgi?root=DZ%2018-24m&amp;gscope=all&amp;ascope=all,"['rai', 'rap algerien', 'rai algerien', 'moroccan pop', 'arabic hip hop', 'rap maroc', 'rap tunisien', 'french hip hop']"
5,Algeria,25-29,male,spotify:playlist:28hbIlbxxM0sOQVl2uZLBW,https://everynoise.com/everydemo.cgi?root=DZ%2025-29m&amp;gscope=all&amp;ascope=all,"['rai', 'rap algerien', 'moroccan pop', 'rap maroc', 'francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rai algerien', 'arabic hip hop', 'rap tunisien', 'french pop', 'rap marseille', 'reggae maghreb', 'rif', 'tunisian pop']"
6,Algeria,30-34,male,spotify:playlist:4eDfYwCZGDfifMN75BdnZU,https://everynoise.com/everydemo.cgi?root=DZ%2030-34m&amp;gscope=all&amp;ascope=all,"['rai', 'moroccan pop', 'rap algerien', 'rap maroc', 'francoton', 'french hip hop', 'pop urbaine', 'rai algerien', 'rap francais', 'rap tunisien', 'arabic hip hop', 'french pop', 'rif']"
7,Angola,18-24,male,spotify:playlist:7rb1rciWmqeadwnAIp4mUk,https://everynoise.com/everydemo.cgi?root=AO%2018-24m&amp;gscope=all&amp;ascope=all,"['rap angolano', 'hip hop tuga', 'kizomba', 'trap tuga']"
8,Argentina,0-17,female,spotify:playlist:1KL27hViLJlh0fgawAU6SL,https://everynoise.com/everydemo.cgi?root=AR%200-17f&amp;gscope=all&amp;ascope=all,"['cumbia pop', 'trap argentino', 'rkt', 'cumbia 420', 'argentine hip hop', 'cumbia villera', 'argentine rock', 'argentine telepop', 'latin rock', 'argentine indie', 'rock en espanol', 'latin alternative', 'latin viral pop', 'pop argentino', 'trap latino', 'rock nacional', 'trap triste', 'latin pop', 'rap latina', 'argentine alternative rock', 'hyperpop en espanol', 'manso indie', 'perreo', 'rap underground argentino']"
9,Argentina,0-17,male,spotify:playlist:2MpHlj7SuehxI7D56Tkg55,https://everynoise.com/everydemo.cgi?root=AR%200-17m&amp;gscope=all&amp;ascope=all,"['rkt', 'cumbia 420', 'trap argentino', 'cumbia pop', 'argentine hip hop', 'trap latino', 'rap uruguayo', 'trap triste', 'cumbia villera', 'pop argentino']"
10,Argentina,0-17,nonbinary,spotify:playlist:1XJXFjgIvkxsf34KDzeqw1,https://everynoise.com/everydemo.cgi?root=AR%200-17n&amp;gscope=all&amp;ascope=all,"['latin rock', 'rock en espanol', 'latin alternative', 'trap argentino', 'argentine rock', 'rock nacional', 'trap latino', 'argentine hip hop', 'cumbia pop', 'cumbia 420', 'pop argentino', 'trap triste', 'argentine indie', 'cumbia villera', 'rkt', 'latin pop', 'post-punk argentina', 'argentine telepop', 'latin', 'ska argentino', 'indie pop', 'reggaeton', 'rock uruguayo', 'urbano espanol', 'argentine alternative rock', 'argentine punk', 'electronica argentina', 'hyperpop en espanol', 'indie triste', 'latin viral pop', 'rap latina', 'rap underground argentino']"
11,Argentina,18-24,female,spotify:playlist:3ZOIn4bLkUCQv64EvyEscs,https://everynoise.com/everydemo.cgi?root=AR%2018-24f&amp;gscope=all&amp;ascope=all,"['cumbia pop', 'trap argentino', 'latin rock', 'argentine rock', 'argentine indie', 'rock en espanol', 'cumbia 420', 'pop argentino', 'argentine telepop', 'rock nacional', 'argentine hip hop', 'latin alternative', 'trap latino', 'rkt', 'latin pop', 'argentine alternative rock', 'cumbia villera', 'latin', 'latin viral pop', 'rap latina', 'electronica argentina', 'r&b argentino', 'rap underground argentino', 'reggaeton', 'trap triste', 'manso indie', 'urbano espanol']"
12,Argentina,18-24,male,spotify:playlist:4m9gcsO6VjkKaqPSm2VlwJ,https://everynoise.com/everydemo.cgi?root=AR%2018-24m&amp;gscope=all&amp;ascope=all,"['rkt', 'cumbia 420', 'trap argentino', 'cumbia pop', 'argentine hip hop', 'rap underground argentino', 'rap uruguayo', 'trap latino', 'cumbia villera']"
